Classes,precision,recall,f1-score,support
0,0.36,0.16,0.22,1944.0
1,0.4,0.23,0.29,1522.0
2,0.2,0.13,0.16,325.0
3,0.66,0.91,0.76,14540.0
4,0.52,0.02,0.05,707.0
5,0.55,0.62,0.58,3101.0
6,0.93,0.36,0.52,1208.0
7,0.31,0.23,0.26,768.0
8,0.48,0.45,0.47,3970.0
9,0.73,0.67,0.7,1057.0
10,0.0,0.0,0.0,1833.0
11,0.94,0.93,0.93,81156.0
12,0.58,0.77,0.66,23272.0
13,0.52,0.43,0.47,3189.0
14,0.51,0.25,0.33,1483.0
15,0.61,0.52,0.56,8573.0
16,0.71,0.7,0.71,12192.0
17,0.78,0.65,0.71,4610.0
18,0.47,0.42,0.45,3505.0
19,0.64,0.56,0.6,4285.0
20,0.59,0.43,0.5,3511.0
21,0.94,0.88,0.91,3558.0
22,0.95,0.93,0.94,27393.0
23,0.9,0.67,0.77,2895.0
24,0.62,0.78,0.69,7977.0
25,0.39,0.45,0.42,3189.0
26,0.61,0.64,0.62,4345.0
27,0.69,0.54,0.61,3539.0
28,0.59,0.57,0.57,529.0
29,0.64,0.56,0.6,1205.0
30,0.25,0.1,0.14,967.0
31,0.36,0.26,0.31,1447.0
32,0.86,0.3,0.44,923.0
33,0.38,0.42,0.4,1952.0
34,0.31,0.32,0.31,654.0
35,0.26,0.25,0.26,1325.0
36,0.47,0.77,0.58,4494.0
37,0.2,0.47,0.28,388.0
38,0.34,0.22,0.26,975.0
39,0.61,0.41,0.49,3361.0
40,0.57,0.36,0.44,2307.0
41,0.53,0.45,0.49,2567.0
42,0.33,0.02,0.03,63.0
43,0.66,0.94,0.78,8621.0
44,0.48,0.12,0.2,3636.0
45,0.62,0.78,0.69,1423.0
46,0.76,0.18,0.29,870.0
47,0.9,0.23,0.37,266.0
48,0.63,0.47,0.54,696.0
49,0.8,0.7,0.75,529.0
50,0.11,0.01,0.01,142.0
51,0.0,0.0,0.0,3.0
52,0.0,0.0,0.0,2.0
53,0.61,0.52,0.56,1404.0
54,0.79,0.52,0.63,1397.0
55,0.8,,,
